date,commit,coverage,lines,hits
2026-01-03,8e29e12d1,45.86,13606,6240
2026-01-03,94323a904,45.78,13622,6237
2026-01-03,92017615a,45.83,13608,6237
2026-01-04,64eeb3e84,45.9,13617,6251
2026-01-04,8968481e0,45.9,13617,6251
2026-01-04,59abbcb6e,45.9,13617,6251
2026-01-04,0432171d0,45.9,13617,6251
2026-01-04,f16f8c863,45.97,13643,6272
2026-01-05,8a82b247e,46.06,13621,6274
2026-01-06,c14bab3b9,46.03,13624,6272
2026-01-06,6aeba93f8,46.03,13621,6270
2026-01-07,2c54afed0,46.07,13592,6262
2026-01-07,b2cb8b661,46.07,13592,6262
2026-01-08,f7cbbdddc,46.44,13682,6355
2026-01-08,171224768,46.46,13682,6357
2026-01-08,351c60935,46.44,13678,6353
2026-01-08,2b8905a06,46.44,13678,6353
2026-01-08,d43bc92cc,46.47,13675,6355
2026-01-08,02cae98a1,46.48,13675,6357
2026-01-08,1f8a0a0b0,46.47,13675,6355
2026-01-08,fda1d809a,46.49,13654,6348
2026-01-09,7bf155ae5,46.45,13698,6364
2026-01-09,f8dede7e5,46.45,13698,6364
2026-01-09,c7ea0053a,46.43,13694,6359
2026-01-09,0ac562438,46.44,13682,6355
2026-01-09,4384719f9,46.44,13682,6355
2026-01-09,b5e503c74,46.44,13682,6355
2026-01-09,975506dd2,46.44,13682,6355
2026-01-10,f4f3e1d46,50.57,13682,6919
2026-01-10,8e38b2bcd,46.51,13682,6364
2026-01-10,177ec98ee,46.51,13682,6364
2026-01-10,b21deac8a,46.51,13682,6364
2026-01-10,20c3758cc,46.52,13684,6366
2026-01-12,f291aed42,63.9,13682,8743
2026-01-14,4145a091f,64.72,13680,8854
2026-01-14,89d689132,64.48,13680,8821
2026-01-14,65ff499c8,63.83,13680,8732
2026-01-15,818e7a9af,66.0,13680,9029
2026-01-17,b03da4c13,69.6,13698,9534
2026-01-17,595906021,69.58,13698,9532
2026-01-17,7adde2784,69.58,13698,9532
2026-01-17,5c4505c45,69.15,13698,9473
2026-01-18,82dd23aff,69.76,13698,9556
2026-01-19,31e3080af,70.18,13698,9614
2026-01-25,609b68f0f,70.55,13698,9665
2026-02-03,3a0cb2bd5,70.56,13698,9666
2026-02-12,6736766ac,70.31,14362,10099
2026-02-12,66c1e5bc7,70.31,14362,10099
2026-02-12,76c83d30a,70.32,14362,10100
2026-02-12,e46297167,70.32,14362,10100
2026-02-16,ffebbc944,70.58,14404,10167
2026-02-16,b43fb0fb1,70.53,14403,10159
2026-02-17,8925b8636,69.74,15527,10829
2026-02-17,adf12721d,69.73,15527,10827
2026-02-17,312a8d6dd,69.72,15527,10826
2026-02-17,010b297d5,69.73,15527,10827
2026-02-17,2eedf2b93,69.74,15527,10829
2026-02-17,66372761c,69.71,15527,10824
