tag,date,kind,line,commits,fix_commits,days_since_prev_tag
2025.12-RELEASE,2025-12-06,minor,2025.12,302,28,
2025.12.1-RELEASE,2025-12-08,patch,2025.12,23,5,2
2025.12.2-RELEASE,2025-12-10,patch,2025.12,14,4,2
2025.12.3-RELEASE,2025-12-12,patch,2025.12,40,10,2
2025.12.4-RELEASE,2025-12-18,patch,2025.12,20,11,6
2025.12.5-RELEASE,2025-12-23,patch,2025.12,22,10,5
2025.12.6-RELEASE,2025-12-25,patch,2025.12,7,0,2
2025.12.7-RELEASE,2025-12-27,patch,2025.12,12,6,2
2026.01-RELEASE,2026-01-03,minor,2026.01,16,6,7
2026.02-RELEASE,2026-02-18,minor,2026.02,173,75,46
2026.02.1-RELEASE,2026-02-18,patch,2026.02,9,1,0
2026.02.2-RELEASE,2026-02-19,patch,2026.02,11,3,1
2026.02.3-RELEASE,2026-02-22,patch,2026.02,33,8,3
2026.02.4-RELEASE,2026-02-23,patch,2026.02,2,0,1
2026.02.5-RELEASE,2026-02-26,patch,2026.02,55,21,3
2026.03.1-RELEASE,2026-03-08,patch,2026.03,11,3,10
2026.03.2-RELEASE,2026-03-09,patch,2026.03,9,6,1
2026.03.3-RELEASE,2026-03-18,patch,2026.03,56,24,9
2026.03.4-RELEASE,2026-03-19,patch,2026.03,19,9,1
2026.04-RELEASE,2026-04-11,minor,2026.04,67,38,23
2026.05-RELEASE,2026-05-27,minor,2026.05,16,8,46
2026.06-RELEASE,2026-06-01,minor,2026.06,39,7,5
2026.08-RELEASE,2026-08-26,minor,2026.08,35,11,86
