date,ncloc,bugs,vulnerabilities,code_smells,duplicated_lines_density,sqale_index,security_hotspots_reviewed
2025-11-28,37674,29,5,526,3.7,4328,0.0
2025-12-07,52423,43,0,740,3.8,5692,100.0
2026-01-03,54793,45,0,694,3.7,5273,69.2
2026-02-03,54214,1,0,42,3.4,330,100.0
2026-03-07,75250,1,40,201,3.8,2104,100.0
2026-04-08,79144,0,0,38,2.7,237,100.0
2026-05-26,79495,0,0,31,2.7,227,100.0
2026-06-16,80464,106,0,1329,2.8,37960,100.0
2026-07-09,81540,8,2,770,2.6,4011,100.0
2026-08-25,82452,2,0,355,2.6,1903,100.0
2026-08-26,82452,2,0,355,2.6,1903,100.0
